Country,Name of dam,Alternate dam name,ISO alpha- 3,"Administrative
Unit",Nearest city,River,Major basin,Sub-basin,Completed /operational since,Dam height (m),Reservoir capacity (million m3),Reservoir area (km2),"Sedimen-tation 
(latest known) 
(%) ",Irrigation ,Water supply,Flood control,Hydroelectricity (MW),Navigation,Recreation,Pollution control,Livestock rearing,Other,Decimal degree latitude,Decimal degree longitude,National reference(s),Other reference(s),Comments
Angola,Medio Kwanza,,AGO,,,Kwanza,,,Incomplete?,,,,,,,,x,,,,,,-9.7947,15.4692,,68,
Angola,Capanda II,,AGO,,,,,,Incomplete?,,,,,,,,x,,,,,,-11.4167,17.5833,,68,
Angola,Baine,,AGO,,,,,,Incomplete?,,,,,,,,x,,,,,,-17.3865,14.6446,,68,
Malawi,Tedzani Falls,,MWI,,,,,,,,,,,,,,x,,,,,,-15.55,34.7833,,67,
Malawi,Nkula-A and B,,MWI,,,,,,,,,,,,,,x,,,,,,-15.5193,34.826,,67,
Malawi,Kapichira I,,MWI,,,,,,,,,,,,,,x,,,,,,-15.8953,34.7541,,67,
Malawi,Mpatamanga,,MWI,,,,,,Incomplete,,,,,,,,x,,,,,,-15.87,34.75,,67,Irrigation of 1250 ha
Malawi,Kholombizo,,MWI,,,,,,Incomplete,,,,,,,,x,,,,,,-15.3,35.07,,67,
Malawi,Kapichira II,,MWI,,,,,,Incomplete,,,,,,,,x,,,,,,-15.8953,34.7541,,67,
Malawi,Fufu,,MWI,,,,,,Incomplete,,,,,,,,x,,,,,,-10.69,34.18,,67,
Malawi,Songwe,,MWI,,,,,,Incomplete?,,,,,,,,x,,,,,,-9.7032,33.9199,,68,
Mozambique,Mphanda Nkuwa,,MOZ,,,Zambeze,,,Incomplete,103,,97,,,,,x,,,,,,-15.7794,33.1482,,67,
Mozambique,Mepanda Uncua Ph I,,MOZ,,,,,,Incomplete?,,,,,,,,x,,,,,,-15.7908,33.1339,,68,
Mozambique,Lupata,,MOZ,,,Zambeze,,,Incomplete?,,,,,,,,x,,,,,,-15.5333,30.3667,,68,
Mozambique,Boroma,,MOZ,,,Zambeze,,,Incomplete?,,,,,,,,x,,,,,,-16.05,33.4333,,68,
Zambia,Lusiwasi,,ZMB,,,,,,,,,,,,,,x,,,,,,-12.989,30.8656,,67,
Zambia,Lusemfwa,,ZMB,,,,,,,,,,,,,,x,,,,,,-14.2333,29.1139,,67,
Zambia,Mupata Gorge,,ZMB,,,,,,Incomplete,,,,,,,,x,,,,,,-15.6333,30.0833,,67,
Zambia,Batoka,,ZMB,,,,,,Incomplete,,,,,,,,x,,,,,,-17.9333,26.25,,67,
Zambia,Lulapula,,ZMB,,,,,,Incomplete?,,,,,,,,x,,,,,,-11.5648,29.046,,68,
Zambia,Kalungwhishi,,ZMB,,,,,,Incomplete?,,,,,,,,x,,,,,,-9.0167,28.95,,68,
Zambia,Devils Gorge,,ZMB,,,,,,Incomplete?,,,,,,,,x,,,,,,-17.9333,26.25,,68,
Zimbabwe,Gairezi,,ZWE,,,,,,Incomplete?,,,,,,,,x,,,,,,-18.5833,32.7,,68,
Zimbabwe,Devils Gorge,,ZWE,,,Zambezi,,,Incomplete?,,,,,,,,x,,,,,,-17.9333,26.25,,68,
Zimbabwe,Batoka,,ZWE,,,Zambezi,,,Incomplete?,,,,,,,,x,,,,,,-16.7833,27.2667,,68,
